Custom Language|Українська
100 Cards|100 карток
1st Edition|Перше видання
A different existing game account is found.|Знайдено інший ігровий обліковий запис.
A save file already exists. Do you want to delete the save file and start a new shop?|Файл збереження вже існує. Видалити його та відкрити новий магазин?
ACCEPTED!|ПРИЙНЯТО!
Accept|Прийняти
Accessories|Аксесуари
Achievement|Досягнення
Activate|Активувати
Activated|Активовано
Add|Додати
Add Item|Додати товар
Add To Cart|Додати до кошика
Add the item by tapping this button.|Додайте товар, натиснувши цю кнопку.
Advertisement|Реклама
Album Next 10 Page|Наступні 10 сторінок альбому
Album Next Page|Наступна сторінка альбому
Album Previous 10 Page|Попередні 10 сторінок альбому
Album Previous Page|Попередня сторінка альбому
All|Усі
All element deals XXX extra damage this turn|Усі стихії завдають на XXX більше шкоди цього ходу
All foil cards might XXX price|Ціна всіх фойлових карток може змінитися: XXX
All non-foil cards might XXX price|Ціна всіх нефойлових карток може змінитися: XXX
Already Claimed|Вже отримано
Already Purchased|Вже придбано
Already claimed|Вже отримано
Already purchased|Вже придбано
Alright no worries. Let me know if you change your mind.|Гаразд, без проблем. Дайте знати, якщо передумаєте.
Amneshark|Амнезарк
Amnesilla|Амнезілла
Amount|Кількість
Angez|Анґез
Anguifish|Ангуіфіш
Any Rarity|Будь-яка рідкість
Apply|Застосувати
April|Квітень
Aquariff|Акваріф
Are you sure about selling XXX for YYY?|Ви впевнені, що хочете продати XXX за YYY?
Are you sure?|Ви впевнені?
Arena|Арена
Attack|Атака
Attack Power|Сила атаки
August|Серпень
Auto Next Card|Автоматично переходити до наступної картки
Auto Save|Автозбереження
Auto Scent G500|Автоматичний ароматизатор G500
Auto Scent M100|Автоматичний ароматизатор M100
Auto Scent T1000|Автоматичний ароматизатор T1000
Automatically sprays when bad odour is detected. Holds up to 2 Cleanser.|Автоматично розпилює засіб, коли виявляє неприємний запах. Вміщує до 2 очищувачів.
Automatically sprays when bad odour is detected. Holds up to 4 Cleanser.|Автоматично розпилює засіб, коли виявляє неприємний запах. Вміщує до 4 очищувачів.
Automatically sprays when bad odour is detected. Holds up to 7 Cleanser.|Автоматично розпилює засіб, коли виявляє неприємний запах. Вміщує до 7 очищувачів.
Available on Full Version|Доступно в повній версії
Avg Cost|Середня вартість
Back|Назад
Backward|Назад
Basic|Базовий
Basic Card Box|Базова коробка карток
Basic Card Pack|Базовий бустер
Basic Destiny Box|Базова коробка «Доля»
Basic Destiny Pack|Базовий бустер «Доля»
Basic Foil Pack|Базовий фойловий бустер
Basilisk|Базиліск
Batrang|Батранг
Beakai|Беакай
Below Max Price|Нижче максимальної ціни
Best Value|Найвигідніше
Big Card Display|Велика вітрина для карток
Big Personal Shelf|Велика особиста полиця
Big Shelf|Велика полиця
Big Warehouse Shelf|Велика складська полиця
Bill Payment|Оплата рахунку
Blank|Порожньо
Blazoar|Блазозар
Blazoar Plushie|Плюшева іграшка «Блазозар»
Blazoar Statue|Статуя «Блазозар»
Bogon|Богон
Bonfiox|Бонфіокс
Bonfiox Plushie|Плюшева іграшка «Бонфіокс»
Booster|Бустер
Booster Packs|Бустери
Bought|Куплено
Bought Card|Куплена картка
Bought Item|Куплений товар
Box Up|Запакувати
Box has no item in it|Коробка порожня
Box has no more space|У коробці більше немає місця
Budwing|Будвінг
Build|Будувати
Build Complete|Будівництво завершено
Build Time|Час будівництва
Built|Побудовано
Bulk Box|Коробка недорогих карток
Bulk Card Bundle|Пачка недорогих карток
Bundle Cards|Зібрати картки в пачку
Bundle up your jank cards here, you can sell them as bulk on the shelf.|Зберіть тут непотрібні недорогі картки в пачку — потім її можна продавати на полиці.
Burpig|Бурпіг
Burpig Figurine|Фігурка «Бурпіг»
Burpig Statue|Статуя «Бурпіг»
Buy Price|Ціна покупки
Buy a Card Shelf and put it in the shop|Купіть полицю для карток і поставте її в магазині
Buy a Card Table and put it in the shop|Купіть стіл для карток і поставте його в магазині
Buy a Play Table and put it in the shop|Купіть ігровий стіл і поставте його в магазині
Buy buy buy!!|Купуйте, купуйте, купуйте!!
Buzzeed|Баззід
Camera FOV|Поле огляду камери
Can only put Bulk Box here|Сюди можна ставити лише коробку недорогих карток
Can only put item on this shelf|На цю полицю можна ставити лише товари
Can only refill with Cleanser|Можна заправляти тільки очищувачем
Can only store box on this shelf|На цій полиці можна зберігати лише коробки
Can't decide if I really want this.|Не можу вирішити, чи справді хочу це купити.
Can't sell the only Cash Counter|Не можна продати єдиний касовий апарат
Can't throw the only Cash Counter|Не можна викинути єдиний касовий апарат
Cancel|Скасувати
Cannot mix different box sizes|Не можна складати разом коробки різних розмірів
Cannot mix different items in box|В одній коробці не можна змішувати різні товари
Cannot mix different items on shelf|На одній полиці не можна змішувати різні товари
Cannot move while customer in queue|Не можна переміщувати, поки клієнт стоїть у черзі
Cannot open shop yet|Ще не можна відкрити магазин
Cannot store empty box|Не можна зберігати порожню коробку
Card Album|Альбом карток
Card Collector|Колекціонер карток
Card Display|Вітрина для карток
Card Display Case|Вітрина для карток
Card Display Table|Стіл-вітрина для карток
Card Earning|Дохід від карток
Card Expansion|Карткове доповнення
Card Shelf|Полиця для карток
Card Sleeves (Clear)|Прозорі протектори для карток
Card Sleeves (Earth)|Протектори для карток «Земля»
Card Sleeves (Fire)|Протектори для карток «Вогонь»
Card Sleeves (Tetramon)|Протектори для карток «Тетрамон»
Card Sleeves (Water)|Протектори для карток «Вода»
Card Sleeves (Wind)|Протектори для карток «Вітер»
Card Slot|Слот для карток
Card Sold|Картку продано
Card Table|Стіл для карток
Card Value|Вартість картки
Card packs and cards from Tetramon TCG might XXX price|Ціни на бустери й картки Тетрамон TCG можуть змінитися: XXX
Cards|Картки
Cards Collected|Зібрано карток
Cards In Album :|Картки в альбомі:
Cards with EX border might XXX price|Ціна карток із рамкою EX може змінитися: XXX
Cards with Earth element might XXX price|Ціна карток зі стихією Землі може змінитися: XXX
Cards with Fire element might XXX price|Ціна карток зі стихією Вогню може змінитися: XXX
Cards with First Edition border might XXX price|Ціна карток із рамкою першого видання може змінитися: XXX
Cards with Gold border might XXX price|Ціна карток із золотою рамкою може змінитися: XXX
Cards with Silver border might XXX price|Ціна карток зі срібною рамкою може змінитися: XXX
Cards with Water element might XXX price|Ціна карток зі стихією Води може змінитися: XXX
Cards with Wind element might XXX price|Ціна карток зі стихією Вітру може змінитися: XXX
Cards with certain border might XXX price|Ціна карток із певною рамкою може змінитися: XXX
Cards with certain element might XXX price|Ціна карток із певною стихією може змінитися: XXX
Cards with full art might XXX price|Ціна карток із повною ілюстрацією може змінитися: XXX
Cart is empty|Кошик порожній
Cash Balance :|Баланс готівки:
Cashier Lock Movement|Блокування руху касира
Center Dot|Центральна точка
Certain card packs or cards might XXX price|Ціна певних бустерів або карток може змінитися: XXX
Champion|Чемпіон
Champion Card|Картка чемпіона
Championship|Чемпіонат
Change|Змінити
Channel|Канал
Charge|Заряджати
Charging|Зарядка
Cheap XXX. What a bargain!|XXX продають дешево. Оце вигода!
Cheap card. What a bargain!|Картка дешева. Оце вигода!
Checkout|Оформити покупку
Checkout Counter|Каса
Checkout Speed :|Швидкість оформлення:
Checkout Speed:|Швидкість оформлення:
Choose|Вибрати
Claim|Отримати
Claim!|Отримати!
Clamigo|Кламіго
Clawaken|Клоуейкен
Clawcifear|Клоусіфер
Clawdos|Клоудос
Clawop|Клоуоп
Clawvenger|Клоувенджер
Cleanser|Очищувач
Clear|Очистити
Close|Закрити
Close Album|Закрити альбом
Close Box|Закрити коробку
Close Phone|Закрити телефон
Cloud Save|Хмарне збереження
Cold Shoulder|Холодне плече
Collect|Зібрати
Collect All|Зібрати все
Collected|Зібрано
Collected XXX Destiny card in album!|До альбому додано XXX картку «Доля»!
Collected XXX Ghost card in album!|До альбому додано XXX картку «Привид»!
Collected XXX Tetramon card in album!|До альбому додано XXX картку Тетрамон!
Collection|Колекція
Collection Book|Колекційний альбом
Color|Колір
Comic Vol 1|Комікс, т. 1
Comic Vol 10|Комікс, т. 10
Comic Vol 11|Комікс, т. 11
Comic Vol 12|Комікс, т. 12
Comic Vol 2|Комікс, т. 2
Comic Vol 3|Комікс, т. 3
Comic Vol 4|Комікс, т. 4
Comic Vol 5|Комікс, т. 5
Comic Vol 6|Комікс, т. 6
Comic Vol 7|Комікс, т. 7
Comic Vol 8|Комікс, т. 8
Comic Vol 9|Комікс, т. 9
Coming Soon|Скоро в продажу
Common|Звичайна
Common pack and card price might XXX|Ціна звичайних бустерів і карток може змінитися: XXX
Completed|Завершено
Completed!|Завершено!
Confirm|Підтвердити
Confirm Event|Підтвердити подію
Confirm Name|Підтвердити ім’я
Confirm shop name?|Підтвердити назву магазину?
Continue|Продовжити
Control|Керування
Cost|Вартість
Cost :|Вартість:
Counter|Прилавок
Crablox|Краблок
Crazy. Who's gonna buy XXX at this price!?|Божевілля! Хто купить XXX за такою ціною?!
Crazy. Who's gonna buy at this price!?|Божевілля! Хто взагалі купить за такою ціною?!
Create a shield to block XXX damage|Створіть щит, що блокує XXX шкоди
Create a shield to block XXX damage, then draw YYY card|Створіть щит, що блокує XXX шкоди, потім доберіть YYY картку
Crobib|Кробіб
Crorathian|Кроратіан
Crosilisk|Кросіліск
Currency|Валюта
Currency Exchange|Обмін валюти
Current Earning :|Поточний дохід:
Current Game Event|Поточна ігрова подія
Current Task:|Поточне завдання:
Current Version :|Поточна версія:
Customer|Клієнт
Customer Data|Дані клієнта
Customer Offer|Пропозиція клієнта
CustomerReview/A little expensive to play here but ok I guess|Грати тут трохи дорогувато, але загалом нормально.
CustomerReview/A little smelly at XXX, I don't really like it.|У XXX трохи смердить. Мені це не дуже подобається.
CustomerReview/A little smelly but bearable I guess.|Трохи смердить, але ще можна витримати.
CustomerReview/A lot of rare cards here|Тут багато рідкісних карток.
CustomerReview/Absolutely a steal for YYY! Didn't expect that price here.|YYY за таку ціну — просто знахідка! Не очікував побачити тут таку пропозицію.
CustomerReview/Alright pricing, could be cheaper.|Ціни нормальні, хоча могли б бути нижчими.
