1st Attack	1st атака
2nd Attack	2nd атака
Aetheria RPG Pack	Набір карток Aetheria RPG
Barrage Missle	Залпова ракета
Box Up Decorate	Запакувати / Декорувати
Connecting	Підключення...
CustomerReview/Absolute peak TCG experience	Абсолютно топовий досвід для фаната TCG
CustomerReview/Amazing shop! Thanks for the free cards!!	Чудовий магазин! Дякую за безкоштовні картки!!
CustomerReview/Awesome, found some cards I needed in the bulk bin!	Клас, знайшов у коробці безкоштовних карток кілька потрібних мені карток!
CustomerReview/Best service. Keep up the good work!!	Найкращий сервіс. Так тримати!!
CustomerReview/Found the cards I needed in the free bulk bin, thank you!	Знайшов потрібні картки серед безкоштовних, дякую!
CustomerReview/Free bulk cards!	Безкоштовні картки!
CustomerReview/Hard to play when you can't see the cards	Важко грати, коли карток не видно
CustomerReview/I can t believe a store expects customers to shop in near darkness. It s impossible to see the cards, the shelves, or anything else. Completely unacceptable.	Не можу повірити, що магазин очікує, ніби клієнти купуватимуть майже в темряві. Не видно ні карток, ні полиць, взагалі нічого. Абсолютно неприйнятно.
CustomerReview/I had to hold the cards up to my phone's flashlight just to make out the text.	Довелося підсвічувати картки ліхтариком телефона, щоб хоча б прочитати текст.
CustomerReview/I like that the owner put up free bulk cards for us, keeps the TCG community alive.	Подобається, що власник виклав для нас безкоштовні картки. Так TCG-спільнота й живе.
CustomerReview/I love card shops, but this one? Practically a cave. It s uncomfortable to shop when you can t see what you re buying	Я люблю магазини карток, але цей? Майже печера. Незручно купувати, коли не бачиш, що саме береш.
CustomerReview/I need a night-vision goggles to play in this shop lol	Щоб грати в цьому магазині, мені потрібні окуляри нічного бачення, лол.
CustomerReview/Interesting experience playing in the dark, I think I managed to steal one of my opponent's card without him noticing, or maybe it is my own card? I have no idea	Цікавий досвід — грати в темряві. Здається, я непомітно забрав картку суперника. А може, це взагалі моя картка? Без поняття.
CustomerReview/One of the best TCG shops. Sells at fair prices and gives free cards instead of overcharging like competing shops.	Один із найкращих TCG-магазинів. Тут чесні ціни й безкоштовні картки замість накруток, як у конкурентів.
CustomerReview/Peak customer service.	Сервіс найвищого рівня.
CustomerReview/Thank you very much for the free cards. Now I can finally play!	Велике дякую за безкоштовні картки. Тепер я нарешті можу грати!
CustomerReview/Thanks for the free cards!	Дякую за безкоштовні картки!
CustomerReview/The owner is a certified gigachad of the trading card world. Helped me find every single card I needed for free!	Власник — сертифікований гігачад світу колекційних карток. Безкоштовно допоміг знайти кожну картку, яка мені була потрібна!
CustomerReview/The shop is fantastic, but honestly the owner is the real MVP.	Магазин чудовий, але, якщо чесно, справжній MVP тут — власник.
CustomerReview/The shop is so dimly lit that I could barely read the card labels. It felt like I needed a flashlight just to see the prices.	У магазині так темно, що я ледве читав назви карток. Здавалося, навіть щоб побачити ціни, потрібен ліхтарик.
CustomerReview/The store is way too dark, especially at night. I kept squinting just to look at the cards...	У магазині надто темно, особливо вночі. Доводилося мружитися, щоб просто роздивитися картки...
CustomerReview/This place is ridiculously dark. I m here to buy cards, not test my ability to navigate a cave. Turn on some lights or hand out flashlights at the door.	Тут абсурдно темно. Я прийшов купувати картки, а не перевіряти, чи зможу пройти печеру. Увімкніть світло або роздавайте ліхтарики на вході.
CustomerReview/Too dark! The lighting makes it impossible to appreciate the artwork on the cards.	Надто темно! Через таке освітлення неможливо нормально роздивитися ілюстрації на картках.
CustomerReview/Very friendly and honest shop with a big passion for trading card games, thank you for the free cards!	Дуже привітний і чесний магазин, де справді люблять колекційні карткові ігри. Дякую за безкоштовні картки!
CustomerReview/Very good, I highly recommend this shop. The owner put out free cards, just a joy to support this shop.	Дуже хороший магазин, однозначно рекомендую. Власник навіть виклав безкоштовні картки — такий магазин приємно підтримувати.
CustomerTrade/Awesome, thanks!	Клас, дякую!
CustomerTrade/Best deal ever!	Найкраща угода!
CustomerTrade/Can I get a little more than that?	Можна трохи більше?
CustomerTrade/Good deal, thanks!	Хороша угода, дякую!
CustomerTrade/Great, thank you!	Чудово, дякую!
CustomerTrade/I want to sell this card. How much can I get?	Хочу продати цю картку. Скільки дасте?
CustomerTrade/I want to trade this card. Do you want it?	Хочу обміняти цю картку. Вам цікаво?
