HP	HP
TCG	TCG
*Orders after 1pm will start processing the next day	*Замовлення після 1pm почнуть обробляти наступного дня
2X2 Cabinet	Шафа 2X2
2nd	2nd
Add Card	Додати картку
Arrow Sign YYY	Вказівник YYY
Ask Price	Запитувана ціна
Automatically opens card packs. Holds up to 128 packs at a time.	Автоматично відкриває набори карток. Одночасно вміщує до 128 наборів.
Automatically opens card packs. Holds up to 32 packs at a time.	Автоматично відкриває набори карток. Одночасно вміщує до 32 наборів.
Automatically opens card packs. Holds up to 64 packs at a time.	Автоматично відкриває набори карток. Одночасно вміщує до 64 наборів.
Box Spawn Limit	Ліміт появи коробок
Bulk Donation Box	Коробка безкоштовних карток
Buy Card	Купити картку
Can only refill with card pack	Можна поповнювати лише наборами карток
Can't side on this side	З цього боку не можна ставити поруч
Can't sit on this side	З цього боку не можна сидіти
Cannot add while machine is running	Не можна додавати, поки машина працює
Card Holder	Тримач для карток
Card Preserver	Захисний кейс для карток
Card Projector	Проєктор карток
Card Projector L	Проєктор карток L
Card Projector M	Проєктор карток M
Card Projector S	Проєктор карток S
Card Projector XL	Проєктор карток XL
Card Trade	Обмін картками
Card Wall Display	Настінна вітрина для карток
Cards Obtained	Отримано карток
Ceiling	Стеля
Ceiling YYY	Стеля YYY
Change Grade	Змінити оцінку
Check Submission Status	Перевірити статус заявки
Choose Turn Order	Вибрати порядок ходів
Collectors Album	Альбом колекціонера
Comes with scanner device designed for stock management	Комплектується сканером для керування запасами
Copy	Копіювати
Cost Highest	Спочатку найдорожчі
Cost Lowest	Спочатку найдешевші
Cost Per Card	Вартість за картку
Crouch	Присісти
Current Page Value	Вартість поточної сторінки
Customer Giving	Клієнт віддає
Customer Selling	Клієнт продає
Customer Want	Клієнт хоче
Customize Your Shop	Налаштуйте свій магазин
DECO	ДЕКОР
DRAW	НІЧИЯ
Deck	Колода
Deck Edit	Редагування колоди
Deck copied successfully	Колоду успішно скопійовано
Deck data copied to clipboard	Дані колоди скопійовано в буфер обміну
Deck data import failed	Не вдалося імпортувати дані колоди
Deck is incomplete	Колода не завершена
Deck pasted successfully	Колоду успішно вставлено
Deco	Декор
Decorate	Декорувати
Delivery in XXX day	Доставка через XXX день
Delivery in XXX days	Доставка через XXX днів
Discard Pile	Скид
Don't have the card customer wanted	Немає картки, яку хоче клієнт
EVO Blazoar Figurine	Фігурка EVO Blazoar
EVO Blazoar Statue	Статуя EVO Blazoar
EVO Kingstar Figurine	Фігурка EVO Kingstar
EVO Kingstar Statue	Статуя EVO Kingstar
End Turn	Завершити хід
EndTurn	Завершити хід
Ends On : 14 October 2025	Завершується: 14 жовтня 2025
Evolution	Еволюція
Export	Експорт
Express	Експрес
Flip	Перевернути
Floor	Підлога
Floor YYY	Підлога YYY
Grade 7	Оцінка 7
Grading	Грейдинг
Grading Time	Час грейдингу
Hold To Crouch	Утримувати для присідання
Hold To Sprint	Утримувати для бігу
How should I set the price?	Яку ціну встановити?
I will refill the machine with these	Я поповню машину цим
Import	Імпорт
In Album	В альбомі
In Storage :	На складі:
Insert Card Pack(s)	Вставте набір(и) карток
Inspect	Оглянути
Leave	Вийти
Let Me Think	Дайте подумати
Level Highest	Спочатку найвищий рівень
Level Lowest	Спочатку найнижчий рівень
Magnetic Holder	Магнітний тримач
Manage	Керувати
Max	Макс.
Max card limit reached	Досягнуто максимальної кількості карток
Minus	Мінус
Most Trusted Grading Service	Найнадійніший сервіс грейдингу
Mulligan	Муліган
Mulligan or keep current hand?	Зробити муліган чи залишити поточну руку?
My little brother said this is the best place to work. I will be a great help, trust me!	Мій молодший брат сказав, що це найкраще місце для роботи. Я точно стану в пригоді, повірте!
Need to copy deck first	Спочатку потрібно скопіювати колоду
New Submission	Нова заявка
No Snap	Без прив’язки
No card available	Немає доступних карток
No card pack in machine	У машині немає наборів карток
No card selected	Картку не вибрано
No deco in inventory	В інвентарі немає декору
No valid selection	Немає допустимого вибору
Not enough card to paste deck	Недостатньо карток, щоб вставити колоду
On Shelf :	На полиці:
Only 4 card duplicates allowed	Дозволено не більше 4 копій однієї картки
Ordering :	Замовлено:
Others	Інше
Owned	У власності
Pack Machine	Машина для відкривання наборів
Paste	Вставити
Penny Sleeves	Базові протектори
Plant YYY	Рослина YYY
Playmat (GigatronX)	Ігровий килимок (GigatronX)
Playmat (Katengu Black)	Ігровий килимок (Katengu, чорний)
Playmat (Katengu White)	Ігровий килимок (Katengu, білий)
Playmat Gray	Сірий ігровий килимок
Playmat Green	Зелений ігровий килимок
Playmat Purple	Фіолетовий ігровий килимок
Playmat Yellow	Жовтий ігровий килимок
Pocket Pages	Сторінки з кишеньками
Poster	Постер
Poster XXX	Постер XXX
Poster YYY	Постер YYY
Posters & Art Prints	Постери та арт-принти
Premium	Преміум
Preorder Here	Передзамовлення тут
Price :	Ціна:
Primary Task	Основне завдання
Purchased	Придбано
Put items on shelf to sell them to your customers. Store up to 4 types of item. Each compartment has volume of 48.	Розміщуйте предмети на полиці, щоб продавати їх клієнтам. Зберігайте до 4 типів предметів. Кожний відсік має об’єм 48.
Put up to 10000 card for customers to take cards for free and make them happy.	Покладіть до 10000 карток, щоб клієнти могли брати їх безкоштовно й ставали задоволенішими.
Put up to 10000 cards for customers to take for free and make them happy!	Покладіть до 10000 карток, щоб клієнти могли брати їх безкоштовно й ставали задоволенішими!
Put your card collection on this shelf for display. This shelf has 36 card slots.	Розмістіть свою колекцію карток на цій полиці для демонстрації. Полиця має 36 слотів для карток.
Put your card collection on this shelf for display. This shelf has 4 card slots.	Розмістіть свою колекцію карток на цій полиці для демонстрації. Полиця має 4 слоти для карток.
Put your card collection on this shelf for display. This shelf has 6 card slots.	Розмістіть свою колекцію карток на цій полиці для демонстрації. Полиця має 6 слотів для карток.
Putting a card in the device will magnify it on the digital screen.	Якщо вставити картку в пристрій, її буде збільшено на цифровому екрані.
Quick Select	Швидкий вибір
Refill Scent	Поповнити ароматизатор
Rematch	Реванш
Remove All	Прибрати все
Round Up	Округлити вгору
Scanner	Сканер
