Custom Language|Українська
100 Cards|100 Карток
1st Edition|Перше Видання
A different existing game account is found.|Знайдено інший існуючий ігровий акаунт.
A save file already exists. Do you want to delete the save file and start a new shop?|Файл збереження вже існує. Ви хочете видалити файл збереження та почати нову гру?
ACCEPTED!|ПРИЙНЯТО!
Accept|Прийняти
Accessories|Аксесуари
Achievement|Досягнення
Activate|Активувати
Activated|Активовано
Add|Додати
Add Item|Додати предмет
Add To Cart|Додати до кошика
Add the item by tapping this button.|Додайте предмет, натиснувши цю кнопку.
Advertisement|Реклама
Album Next 10 Page|Наступні 10 сторінок альбому
Album Next Page|Наступна сторінка альбому
Album Previous 10 Page|Попередні 10 сторінок альбому
Album Previous Page|Попередня сторінка альбому
All|Усі
All element deals XXX extra damage this turn|Усі елементи завдають XXX додаткового ушкодження цього ходу
All foil cards might XXX price|Усі фольговані картки можуть коштувати XXX
All non-foil cards might XXX price|Усі не фольговані картки можуть коштувати XXX
Already Claimed|Вже отримано
Already Purchased|Вже придбано
Already claimed|Вже отримано
Already purchased|Вже придбано
Alright no worries. Let me know if you change your mind.|Добре, не хвилюйтеся. Дайте знати, якщо передумаєте.
Amneshark|Амнезарк
Amnesilla|Амнезілла
Amount|Кількість
Angez|Анґез
Anguifish|Ангуіфіш
Any Rarity|Будь-яка рідкість
Apply|Застосувати
April|Квітень
Aquariff|Акваріф
Are you sure about selling XXX for YYY?|Ви впевнені, що хочете продати XXX за YYY?
Are you sure?|Ви впевнені?
Arena|Арена
Attack|Атака
Attack Power|Сила атаки
August|Серпень
Auto Next Card|Автоматично наступна картка
Auto Save|Автозбереження
Auto Scent G500|Автоматичний ароматизатор G500
Auto Scent M100|Автоматичний ароматизатор M100
Auto Scent T1000|Автоматичний ароматизатор T1000
Automatically sprays when bad odour is detected. Holds up to 2 Cleanser.|Автоматично розпилює при виявленні неприємного запаху. Містить до 2 очищувачів.
Automatically sprays when bad odour is detected. Holds up to 4 Cleanser.|Автоматично розпилює при виявленні неприємного запаху. Містить до 4 очищувачів.
Automatically sprays when bad odour is detected. Holds up to 7 Cleanser.|Автоматично розпилює при виявленні неприємного запаху. Містить до 7 очищувачів.
Available on Full Version|Доступно у повній версії
Avg Cost|Середня вартість
Back|Назад
Backward|Назад
Basic|Базовий
Basic Card Box|Базова коробка карток
Basic Card Pack|Базовий набір карток
Basic Destiny Box|Базова коробка долі
Basic Destiny Pack|Базовий набір долі
Basic Foil Pack|Базовий фольгований набір
Basilisk|Базиліск
Batrang|Батранг
Beakai|Беакай
Below Max Price|Нижче максимальної ціни
Best Value|Найкраща ціна
Big Card Display|Великий дисплей карток
Big Personal Shelf|Велика особиста полиця
Big Shelf|Велика полиця
Big Warehouse Shelf|Велика складська полиця
Bill Payment|Оплата рахунку
Blank|Порожньо
Blazoar|Блазозар
Blazoar Plushie|М'яка іграшка Блазозар
Blazoar Statue|Статуя Блазозар
Bogon|Богон
Bonfiox|Бонфіокс
Bonfiox Plushie|М'яка іграшка Бонфіокс
Booster|Підсилювач
Booster Packs|Набори підсилювачів
Bought|Куплено
Bought Card|Куплена картка
Bought Item|Куплений предмет
Box Up|Запакувати
Box has no item in it|Коробка порожня
Box has no more space|У коробці немає більше місця
Budwing|Будвінг
Build|Будувати
Build Complete|Будівництво завершено
Build Time|Час будівництва
Built|Побудовано
Bulk Box|Велика коробка
Bulk Card Bundle|Великий набір карток
Bundle Cards|Зв'язка карток
Bundle up your jank cards here, you can sell them as bulk on the shelf.|Зберіть тут свої зайві картки, ви можете продати їх оптом на полиці.
Burpig|Бурпіг
Burpig Figurine|Фігурка Бурпіг
Burpig Statue|Статуя Бурпіг
Buy Price|Ціна покупки
Buy a Card Shelf and put it in the shop|Купіть полицю для карток і поставте її в магазині
Buy a Card Table and put it in the shop|Купіть стіл для карток і поставте його в магазині
Buy a Play Table and put it in the shop|Купіть ігровий стіл і поставте його в магазині
Buy buy buy!!|Купуйте, купуйте, купуйте!!
Buzzeed|Баззід
Camera FOV|Поле огляду камери
Can only put Bulk Box here|Тут можна поставити тільки велику коробку
Can only put item on this shelf|На цю полицю можна ставити тільки предмети
Can only refill with Cleanser|Можна заправляти тільки очищувачем
Can only store box on this shelf|На цій полиці можна зберігати тільки коробки
Can't decide if I really want this.|Не можу вирішити, чи дійсно я цього хочу.
Can't sell the only Cash Counter|Не можна продати єдиний касовий апарат
Can't throw the only Cash Counter|Не можна викинути єдиний касовий апарат
Cancel|Скасувати
Cannot mix different box sizes|Не можна змішувати коробки різних розмірів
Cannot mix different items in box|Не можна змішувати різні предмети в коробці
Cannot mix different items on shelf|Не можна змішувати різні предмети на полиці
Cannot move while customer in queue|Не можна рухатися, поки клієнт у черзі
Cannot open shop yet|Ще не можна відкрити магазин
Cannot store empty box|Не можна зберігати порожню коробку
Card Album|Альбом карток
Card Collector|Колекціонер карток
Card Display|Дисплей карток
Card Display Case|Вітрина карток
Card Display Table|Стіл для демонстрації карток
Card Earning|Заробіток від карток
Card Expansion|Розширення карток
Card Shelf|Полиця для карток
Card Sleeves (Clear)|Обкладинки для карток (Прозорі)
Card Sleeves (Earth)|Обкладинки для карток (Земля)
Card Sleeves (Fire)|Обкладинки для карток (Вогонь)
Card Sleeves (Tetramon)|Обкладинки для карток (Тетрамон)
Card Sleeves (Water)|Обкладинки для карток (Вода)
Card Sleeves (Wind)|Обкладинки для карток (Вітер)
Card Slot|Слот для карток
Card Sold|Картку продано
Card Table|Стіл для карток
Card Value|Вартість картки
Card packs and cards from Tetramon TCG might XXX price|Набори карток і картки з Tetramon TCG можуть коштувати XXX
Cards|Картки
Cards Collected|Зібрано карток
Cards In Album :|Картки в альбомі:
Cards with EX border might XXX price|Картки з кордоном EX можуть коштувати XXX
Cards with Earth element might XXX price|Картки зі стихією Земля можуть коштувати XXX
Cards with Fire element might XXX price|Картки зі стихією Вогонь можуть коштувати XXX
Cards with First Edition border might XXX price|Картки з кордоном Першого видання можуть коштувати XXX
Cards with Gold border might XXX price|Картки із золотим кордоном можуть коштувати XXX
Cards with Silver border might XXX price|Картки зі срібним кордоном можуть коштувати XXX
Cards with Water element might XXX price|Картки зі стихією Вода можуть коштувати XXX
Cards with Wind element might XXX price|Картки зі стихією Вітер можуть коштувати XXX
Cards with certain border might XXX price|Картки з певним кордоном можуть коштувати XXX
Cards with certain element might XXX price|Картки з певною стихією можуть коштувати XXX
Cards with full art might XXX price|Картки з повним артом можуть коштувати XXX
Cart is empty|Кошик порожній
Cash Balance :|Баланс готівки :
Cashier Lock Movement|Блокування руху касира
Center Dot|Центральна точка
Certain card packs or cards might XXX price|Деякі набори карток або картки можуть коштувати XXX
Champion|Чемпіон
Champion Card|Картка чемпіона
Championship|Чемпіонат
Change|Змінити
Channel|Канал
Charge|Заряджати
Charging|Зарядка
Cheap XXX. What a bargain!|Дешево XXX. Яка вигідна угода!
Cheap card. What a bargain!|Дешева картка. Яка вигідна угода!
Checkout|Оформити покупку
Checkout Counter|Каса
Checkout Speed :|Швидкість оформлення :
Checkout Speed:|Швидкість оформлення:
Choose|Вибрати
Claim|Отримати
Claim!|Отримати!
Clamigo|Кламіго
Clawaken|Клоуейкен
Clawcifear|Клоусіфер
Clawdos|Клоудос
Clawop|Клоуоп
Clawvenger|Клоувенджер
Cleanser|Очищувач
Clear|Очистити
Close|Закрити
Close Album|Закрити альбом
Close Box|Закрити коробку
Close Phone|Закрити телефон
Cloud Save|Хмарне збереження
Cold Shoulder|Холодне плече
Collect|Зібрати
Collect All|Зібрати все
Collected|Зібрано
Collected XXX Destiny card in album!|Зібрано XXX картку долі в альбомі!
Collected XXX Ghost card in album!|Зібрано XXX привид-картку в альбомі!
Collected XXX Tetramon card in album!|Зібрано XXX картку Тетрамона в альбомі!
Collection|Колекція
Collection Book|Колекційна книга
Color|Колір
Comic Vol 1|Комікс Т.1
Comic Vol 10|Комікс Т.10
Comic Vol 11|Комікс Т.11
Comic Vol 12|Комікс Т.12
Comic Vol 2|Комікс Т.2
Comic Vol 3|Комікс Т.3
Comic Vol 4|Комікс Т.4
Comic Vol 5|Комікс Т.5
Comic Vol 6|Комікс Т.6
Comic Vol 7|Комікс Т.7
Comic Vol 8|Комікс Т.8
Comic Vol 9|Комікс Т.9
Coming Soon|Скоро в продажу
Common|Звичайна
Common pack and card price might XXX|Ціна звичайного набору і картки може бути XXX
Completed|Завершено
Completed!|Завершено!
Confirm|Підтвердити
Confirm Event|Підтвердити подію
Confirm Name|Підтвердити ім'я
Confirm shop name?|Підтвердити назву магазину?
Continue|Продовжити
Control|Керування
Cost|Вартість
Cost :|Вартість :
Counter|Прилавок
Crablox|Краблок
Crazy. Who's gonna buy XXX at this price!?|Божевілля. Хто купить XXX за такою ціною!?
Crazy. Who's gonna buy at this price!?|Божевілля. Хто купить за такою ціною!?
Create a shield to block XXX damage|Створіть щит, щоб заблокувати XXX ушкоджень
Create a shield to block XXX damage, then draw YYY card|Створіть щит, щоб заблокувати XXX ушкоджень, потім візьміть YYY картку
Crobib|Кробіб
Crorathian|Кроратіан
Crosilisk|Кросіліск
Currency|Валюта
Currency Exchange|Обмін валюти
Current Earning :|Поточний заробіток :
Current Game Event|Поточна подія гри
Current Task:|Поточне завдання:
Current Version :|Поточна версія :
Customer|Клієнт
Customer Data|Дані клієнта
Customer Offer|Пропозиція клієнта
CustomerReview/A little expensive to play here but ok I guess|Трохи дорого грати тут, але, думаю, нормально
CustomerReview/A little smelly at XXX, I don't really like it.|Трохи смердить в XXX, мені це не дуже подобається.
CustomerReview/A little smelly but bearable I guess.|Трохи смердить, але, думаю, терпимо.
CustomerReview/A lot of rare cards here|Багато рідкісних карток тут
CustomerReview/Absolutely a steal for YYY! Didn't expect that price here.|Абсолютно вигідна покупка за YYY! Не очікував такої ціни тут.
CustomerReview/Alright pricing, could be cheaper.|Нормальні ціни, могло б бути дешевше.
CustomerReview/Alright pricing, singles could be cheaper.|Нормальні ціни, одиночні картки могли б бути дешевшими.
